Cara,Tipo de cara,Nombre de campaña,Cliente,Operación,Código de contrato (opcional),Monto total,APS Global,CUIC,Articulo,Ejecutivo de Ventas,Descripción (opcional),Periodo,Segmentos,Versión,Ciudad
MD1321,Flujo,TECEL IMUndial 2026,TELCEL,RENTA,55416,"$2,200",70814,1880,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,PAQUETE 4 HORAS,Mérida
MD1321,Contraflujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1322,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1322,Contraflujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1323,Flujo,TIENDAS SIX,HEINEKEN,RENTA,55343,"$2,205",70863,10288,RT-P1-COB-MR,LISSET VALDEZ,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1323,Contraflujo,IMU,IMU,CORTESIA,0,$0,0,0,0,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #7,CORTESIA,Mérida
MD1324,Flujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
MD1324,Contraflujo,ROSQUITAS 2026,GALLETAS DONDE,CORTESIA,1356,"$2,103",1356,0,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,ROSQUITAS,Mérida
MD1325,Flujo,ROSQUITAS 2026,GALLETAS DONDE,CORTESIA,1356,"$2,103",1356,0,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,ROSQUITAS,Mérida
MD1325,Contraflujo,FARMACIAS SIMILARES Planta fija 2026,FARMACIAS SIMILARES,RENTA,55312,"$2,575",70508,1559,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,FONDO ROJO,Mérida
MD1326,Flujo,FRESKO MERIDA,LA COMER,RENTA,55027,"$3,000",70748,304,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,FRESKO,Mérida
MD1326,Contraflujo,FRESKO MERIDA,LA COMER,RENTA,55027,"$3,000",70748,304,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,FRESKO,Mérida
MD1327,Flujo,MEXICO VS MEXICO,COCA COLA,RENTA,55382,"$2,450",70905,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,MÉXICO VS MÉXICO,Mérida
MD1327,Contraflujo,DISEÑA TU CIUDAD,"MUNICIPIO DE MERIDA, YUCATÁN",CORTESIA,55418,$0,70919,10278,CT-P1-COB-MR,KARLA BASURTO,,Catorcenas 2026,Catorcena #7,DISEÑA TU CIUDAD,Mérida
MD1328,Flujo,MEXICO VS MEXICO,COCA COLA,RENTA,55382,"$2,450",70905,9858,RT-P1-COB-MR,NOEMI MUÑOZ,,Catorcenas 2026,Catorcena #7,MÉXICO VS MÉXICO,Mérida
MD1328,Contraflujo,ELECTROLIT,ELECTROLIT,RENTA,1690,"$2,958",1376,10460,RT-P1-COB-MR,BEGOÑA BEORLEGUI,,Catorcenas 2026,Catorcena #7,GENERICO,Mérida
MD1329,Flujo,FRESKO MERIDA,LA COMER,RENTA,55027,"$3,000",70748,304,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,FRESKO,Mérida
MD1329,Contraflujo,FRESKO MERIDA,LA COMER,RENTA,55027,"$3,000",70748,304,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,FRESKO,Mérida
MD1330,Flujo,FARMACIAS SIMILARES Planta fija 2026,FARMACIAS SIMILARES,RENTA,55312,"$2,575",70508,1559,RT-P1-COB-MR,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #7,FONDO ROJO,Mérida
MD1330,Contraflujo,NUTRIRINDES,CARNATION,RENTA,55266,"$2,500",70747,10714,RT-P1-COB-MR,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #7,NUTRIRINDES,Mérida
MD1331,Flujo,HELADOS NESTLE,BUFALO,RENTA,55250,"$3,600",70812,11513,RT-P1-COB-MR,LEONOR BARRANON,,Catorcenas 2026,Catorcena #7,SEBASTIAN YATRA,Mérida
