Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad, ,Ciudad,Tipo de Distribución,Reproducciones
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$3,587",1341,11784,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,ELLE ROJO,,,,DF3513,Flujo,Ciudad de México,RENTA,
CARNAVAL DE VERACRUZ,MUNICIPIO DE VERACRUZ,CORTESIA,54120,$0,70555,9476,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,CARNAVAL DE VERACRUZ,,,,DF3513,Contraflujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,ED3002,Flujo,Ciudad de México,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,ED3002,Contraflujo,Ciudad de México,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,ED3015,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,ED3015,Contraflujo,Ciudad de México,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,ED3016,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,ED3016,Contraflujo,Ciudad de México,RENTA,
BBVA SEGURO DE AUTO,BBVA,RENTA,54084,"$2,742",70535,9058,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,LA AYUDA ESTA A UN CLIC,,,,ED3022,Flujo,Ciudad de México,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,ED3022,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,ED3030,Flujo,Ciudad de México,RENTA,
IHOP LOS FAVORITOS,IHOP,RENTA,54098,"$3,669",70545,11496,RT-CL-COB-MX,DULCE BALTIERRA,,Catorcenas 2026,Catorcena #2,LOS FAVORITOS PASTA,,,,ED3030,Contraflujo,Ciudad de México,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,ED3048,Flujo,Ciudad de México,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,ED3048,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,ED3052,Flujo,Ciudad de México,RENTA,
DIFUSION BOLSA DE TRABAJO IMU,GRUPO IMU,CORTESIA,54009,$0,70509,11749,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,DIFUSION BOLSA DE TRABAJO,,,,ED3052,Contraflujo,Ciudad de México,RENTA,
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$3,587",1341,11784,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,MODA,,,,ED3057,Flujo,Ciudad de México,RENTA,
CARNAVAL DE VERACRUZ,MUNICIPIO DE VERACRUZ,CORTESIA,54120,$0,70555,9476,CT-CL-COB-MX,KARLA BASURTO,,Catorcenas 2026,Catorcena #2,CARNAVAL DE VERACRUZ,,,,ED3060,Flujo,Ciudad de México,RENTA,
MERCADO PAGO,MERCADO LIBRE,RENTA,54159,"$4,200",70571,10757,RT-CL-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TARJETA DE CRÉDITO,,,,ED3060,Contraflujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,DF3125,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3125,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3142,Flujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,DF3142,Contraflujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,DF3144,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-CL-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,DF3144,Contraflujo,Ciudad de México,RENTA,
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,DF3348,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3348,Contraflujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,DF3349,Flujo,Ciudad de México,RENTA,
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,DF3349,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3350,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3350,Contraflujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,DF3354,Flujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,DF3354,Contraflujo,Ciudad de México,RENTA,
UBER PRICE LOCK,UBER CORE,RENTA,54114,"$4,400",70547,11585,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,GENERICO,,,,DF3360,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3360,Contraflujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,DF3361,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3361,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3428,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3428,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,DF3502,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3502,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3460,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3460,Contraflujo,Ciudad de México,RENTA,
AMAZON PF CAT 1 Y 2,AMAZON,RENTA,54081,"$2,856",70505,11369,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,GENERICO,,,,DF3466,Flujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,DF3466,Contraflujo,Ciudad de México,RENTA,
IHOP PANCAKES,IHOP,RENTA,54139,"$4,200",70540,11736,RT-CL-COB-MX,DULCE BALTIERRA,,Catorcenas 2026,Catorcena #2,TODOS LOS PANCAKES QUE PUEDAS COMER,,,,DF3467,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3467,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3493,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3493,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3494,Flujo,Ciudad de México,RENTA,
ALPURA YOGHURT GRIEGO,ALPURA,RENTA,54080,"$3,930",70443,9916,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,ENDULZADO,,,,DF3494,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3242,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3242,Contraflujo,Ciudad de México,RENTA,
"FEMSA, IMUNDIALISTA 2026",FEMSA,RENTA,1237,"$5,406",1269,11734,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PINES,,,,DF3243,Flujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3243,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,DF3244,Contraflujo,Ciudad de México,RENTA,
CORTESIA GENERICA,CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GENERICA,,,,DF3245,Flujo,Ciudad de México,RENTA,
TENA,TENA,RENTA,1072,"$4,200",1278,11431,RT-CL-COB-MX,SARA PICHARDO,,Catorcenas 2026,Catorcena #2,TENA PAQUETE,,,,DF3245,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3246,Contraflujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,DF3247,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3247,Contraflujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,EMBAJADORA,,,,DF3248,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3248,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3258,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3258,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3071,Flujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,DF3071,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3072,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3072,Contraflujo,Ciudad de México,RENTA,
ALPURA YOGHURT GRIEGO,ALPURA,RENTA,54080,"$3,930",70443,9916,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,NATURAL,,,,DF3074,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3077,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3077,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3080,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3080,Contraflujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,DF3090,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3090,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3091,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3091,Contraflujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,DF3092,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3092,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3099,Flujo,Ciudad de México,RENTA,
PLAN AT&T MUNDIAL,AT&T,RENTA,54052,"$4,186",70482,11249,RT-CL-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,BRANDING PRE AT&T,,,,DF3099,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3101,Flujo,Ciudad de México,RENTA,
L'ORÉAL / MAYBELLINE - COLOSSAL BUBBLE,MAYBELLINE,RENTA,54109,"$3,400",70551,5177,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,MASCARA,,,,DF3108,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3108,Contraflujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,DF3110,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3110,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3111,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3115,Flujo,Ciudad de México,RENTA,
L'ORÉAL / MAYBELLINE - COLOSSAL BUBBLE,MAYBELLINE,RENTA,54109,"$3,400",70551,5177,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,MASCARA,,,,DF3115,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3263,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3263,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3264,Flujo,Ciudad de México,RENTA,
PROPOSITOS,SANBORNS,RENTA,1148,"$3,587",1310,11231,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,PROPOSITOS,,,,DF3264,Contraflujo,Ciudad de México,RENTA,
TEMPORADA DE REBAJAS 2,SEARS,RENTA,1248,"$3,587",1341,11784,RT-CL-COB-MX,ALDO TAVERA,,Catorcenas 2026,Catorcena #2,BT,,,,DF3265,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,DF3265,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-CL-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,DF3266,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3266,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3303,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3303,Contraflujo,Ciudad de México,RENTA,
MERCADO PAGO,MERCADO LIBRE,RENTA,54159,"$4,200",70571,10757,RT-CL-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,MERCADO PAGO,,,,DF3304,Flujo,Ciudad de México,RENTA,
LOREAL PLANTA FIJA,LOREAL,RENTA,54071,"$6,000",70466,5171,RT-CL-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,BOTELLA,,,,DF3304,Contraflujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,DF3305,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3305,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3311,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3311,Contraflujo,Ciudad de México,RENTA,
DIAMOND FILMS DOCUMENTAL,DIAMOND FILMS,RENTA,54082,"$3,816",70514,9848,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,DOCUMENTAL MELANIA,,,,DF3497,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3497,Contraflujo,Ciudad de México,RENTA,
ALPURA YOGHURT GRIEGO,ALPURA,RENTA,54080,"$3,930",70443,9916,RT-CL-COB-MX,VALERIA TOSTADO,,Catorcenas 2026,Catorcena #2,NATURAL,,,,DF3498,Flujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3498,Contraflujo,Ciudad de México,RENTA,
INSTITUCIONAL,CORTESIA IMU,CORTESIA,0,$0,0,0,CT-CL-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,INSTITUCIONAL,,,,DF3499,Flujo,Ciudad de México,RENTA,
