Campaña,Anunciante,Operación,Código de contrato (Opcional),Precio por cara (Opcional),APS Global,CUIC,Articulo,Vendedor,Descripción (Opcional),Inicio o Periodo,Fin o Segmento,Arte,Código de arte (Opcional),Arte Url (Opcional),Origen del arte (Opcional),Unidad, ,Ciudad,Tipo de Distribución,Reproducciones
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3059,Contraflujo,Ciudad de México,RENTA,
MUSEO KALUZ 2026,MUSEO KALUZ,CORTESIA,54007,$0,70450,10637,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,GABINETE VELASCO,,,,3560,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3561,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3561,Contraflujo,Ciudad de México,RENTA,
TASTER´S CHOICE,NESCAFE,RENTA,54034,"$4,800",70510,11075,RT-P1-COB-MX,FERNANDA MEJIA SANCHEZ,,Catorcenas 2026,Catorcena #2,TASTER´S CHOICE,,,,3065,Flujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3065,Contraflujo,Ciudad de México,RENTA,
EL PALACIO PLANTA FIJA,EL PALACIO DE HIERRO,RENTA,54099,"$3,935",70387,9898,RT-P1-COB-MX,ESTRELLA NANDO BEHAR,,Catorcenas 2026,Catorcena #2,COMPRA EN LA APP,,,,3069,Flujo,Ciudad de México,RENTA,
REBAJAS MAS BAJAS  INVIERNO,COPPEL,RENTA,54066,"$3,092",70488,9296,RT-P1-COB-MX,JOAQUIN CALDERON,,Catorcenas 2026,Catorcena #2,REBAJAS MAS BAJAS INVIERNO,,,,3069,Contraflujo,Ciudad de México,RENTA,
IMU CORTESIA GENERICA,IMU CORTESIA GENERICA,CORTESIA,0,$0,0,0,CT-P1-COB-MX,ANA MARIA LOPEZ,,Catorcenas 2026,Catorcena #2,IMU CORTESIA GENERICA,,,,3071,Flujo,Ciudad de México,RENTA,
EL MOCHAOREJAS,VIX,RENTA,1049,"$3,608",1282,10371,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,EL MOCHAOREJAS,,,,3071,Contraflujo,Ciudad de México,RENTA,
SABRITAS MUNDIAL,SABRITAS,RENTA,54181,"$3,950",70541,2312,RT-P1-COB-MX,BRISSA GONZÁLEZ,,Catorcenas 2026,Catorcena #2,SABRITAL SAL Y ADOBADAS,,,,3572,Contraflujo,Ciudad de México,RENTA,
WARNER / CUMBRES BORRASCOSAS,WARNER PICTURES,RENTA,54078,"$3,450",70523,1934,RT-P1-COB-MX,ALDONZA OJEDA POIRÉ,,Catorcenas 2026,Catorcena #2,CUMBRES BORRASCOSAS,,,,3073,Flujo,Ciudad de México,RENTA,
