,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cod,codigo_unico OK,ubicacion,tipo_de_cara,cara,mueble,latitud,longitud,plaza,estado,municipio ,cp,tradicional_digital,sentido,Isla,Mueb x Isla,Zona Mundialista,entre_calle_1,entre_calle_2,orientacion ,tipo_de_mueble,ancho ,alto,archivos_id,tarifa_piso,tarifa_publica,nivel_socioeconomico,total_espacios,tiempo
1068,1068_Flujo_Ciudad de México ,REFORMA -  MONTE BLANCO,Flujo,A,Parabus,19.4231300,-99.2162280,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1068,1068_Contraflujo_Ciudad de México ,REFORMA -  MONTE BLANCO,Contraflujo,B,Parabus,19.4231300,-99.2162280,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1069,1069_Flujo_Ciudad de México ,REFORMA -  MONTE LIBANO DER.,Flujo,A,Parabus,19.4180820,-99.2183240,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1069,1069_Contraflujo_Ciudad de México ,REFORMA -  MONTE LIBANO DER.,Contraflujo,B,Parabus,19.4180820,-99.2183240,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1070,1070_Flujo_Ciudad de México ,REFORMA -  MONTE LIBANO IZQ.,Flujo,A,Parabus,19.4180690,-99.2183260,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1070,1070_Contraflujo_Ciudad de México ,REFORMA -  MONTE LIBANO IZQ.,Contraflujo,B,Parabus,19.4180690,-99.2183260,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1071,1071_Contraflujo_Ciudad de México ,REFORMA - EXPLANADA II,Contraflujo,B,Parabus,19.4155750,-99.2191280,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1072,1072_Flujo_Ciudad de México ,REFORMA -  SIERRA TARAHUMARA,Flujo,A,Parabus,19.4134210,-99.2200280,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1072,1072_Contraflujo_Ciudad de México ,REFORMA -  SIERRA TARAHUMARA,Contraflujo,B,Parabus,19.4134210,-99.2200280,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11000,Tradicional ,N-S,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1073,1073_Flujo_Ciudad de México ,REFORMA - MONTES AUVERNIA DER.,Flujo,A,Parabus,19.4073370,-99.2237780,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1073,1073_Contraflujo_Ciudad de México ,REFORMA - MONTES AUVERNIA DER.,Contraflujo,B,Parabus,19.4073370,-99.2237780,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1074,1074_Flujo_Ciudad de México ,REFORMA - MONTES AUVERNIA IZQ.,Flujo,A,Parabus,19.4073240,-99.2237860,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1074,1074_Contraflujo_Ciudad de México ,REFORMA - MONTES AUVERNIA IZQ.,Contraflujo,B,Parabus,19.4073240,-99.2237860,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1075,1075_Contraflujo_Ciudad de México ,REFORMA -  SIERRA IXTLÀN DER.,Contraflujo,B,Parabus,19.4067180,-99.2260970,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1076,1076_Flujo_Ciudad de México ,REFORMA -  SIERRA IXTLÀN IZQ.,Flujo,A,Parabus,19.4067240,-99.2261150,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1076,1076_Contraflujo_Ciudad de México ,REFORMA -  SIERRA IXTLÀN IZQ.,Contraflujo,B,Parabus,19.4067240,-99.2261150,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1577,1577_Flujo_Ciudad de México ,REFORMA - SIERRA VERTIENTES DER.,Flujo,A,Parabus,19.4057260,-99.2288240,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1577,1577_Contraflujo_Ciudad de México ,REFORMA - SIERRA VERTIENTES DER.,Contraflujo,B,Parabus,19.4057260,-99.2288240,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1079,1079_Flujo_Ciudad de México ,REFORMA - CASTILLO WINDSOR,Flujo,A,Parabus,19.4024720,-99.2315840,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1079,1079_Contraflujo_Ciudad de México ,REFORMA - CASTILLO WINDSOR,Contraflujo,B,Parabus,19.4024720,-99.2315840,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1080,1080_Flujo_Ciudad de México ,REFORMA - CASTILLO DE CHAPULTEPEC,Flujo,A,Parabus,19.4006250,-99.2331450,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1080,1080_Contraflujo_Ciudad de México ,REFORMA - CASTILLO DE CHAPULTEPEC,Contraflujo,B,Parabus,19.4006250,-99.2331450,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,NO,NA,NO,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1081,1081_Flujo_Ciudad de México ,REFORMA - RIBERA DE CUPIA DER,Flujo,A,Parabus,19.3969040,-99.2372300,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1081,1081_Contraflujo_Ciudad de México ,REFORMA - RIBERA DE CUPIA DER,Contraflujo,B,Parabus,19.3969040,-99.2372300,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1082,1082_Flujo_Ciudad de México ,REFORMA - RIBERA DE CUPIA IZQ.,Flujo,A,Parabus,19.3968910,-99.2372510,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1082,1082_Contraflujo_Ciudad de México ,REFORMA - RIBERA DE CUPIA IZQ.,Contraflujo,B,Parabus,19.3968910,-99.2372510,Ciudad de México,Ciudad de México ,Miguel Hidalgo,11930,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1083,1083_Flujo_Ciudad de México ,PROL. REFORMA - BOSQUES B. LAURELES DER.,Flujo,A,Parabus,19.3751730,-99.2608680,Ciudad de México,Ciudad de México ,Álvaro Obregón,1330,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
1083,1083_Contraflujo_Ciudad de México ,PROL. REFORMA - BOSQUES B. LAURELES DER.,Contraflujo,B,Parabus,19.3751730,-99.2608680,Ciudad de México,Ciudad de México ,Álvaro Obregón,1330,Tradicional ,N-S,SI,2,SI,,,,Parabus,1.21,1.77,,,,ABC+,1,24 hrs
